UPC,Item,Price 7/31,Price 7/24,Price Change,Quantity 7/31,Quantity 7/24,Price Change %,Quantity Change %,Elasticity
5105,KIWI ud,0.69,0.79,1,691,1124,-0.13,-0.39,3.0
88828940107,MANZANA GRANNY SMITH US 3 lb,5.49,4.99,1,67,97,0.10,-0.31,-3.1
5139,MELON ENTERO lb,1.29,0.99,1,3848,4225,0.30,-0.09,-0.3
5231,TORONJA ROSADA lb,1.69,1.89,1,279,322,-0.11,-0.13,1.3
20523300000,UVAS ROJAS CHILE lb,3.49,2.99,1,305,304,0.17,0.00,0.0
33383001562,FANCY MANZANA GRANNY SMITH US 3 lb,5.49,4.99,1,29,34,0.10,-0.15,-1.5
4400002828,BELVITA BREAKFAST BLUEBERRY 1.76 oz,1.09,0.99,1,24,28,0.10,-0.14,-1.4
4400002829,BELVITA BREAKFAST BLUEBERRY 5-1.76 oz,4.79,4.49,1,19,32,0.07,-0.41,-6.1
4400003194,BELVITA BREAKFAST CHOCOLATE 5-1.76 oz,4.79,4.49,1,17,23,0.07,-0.26,-3.9
4400003195,BELVITA BREAKFAST CINNAMON BROWN SUGAR 5-1.76 oz,4.79,4.49,1,26,22,0.07,0.18,2.7
4400004059,BELVITA BREAKFAST CRANBERRY ORANGE 5-1.76 oz,4.79,4.49,1,16,17,0.07,-0.06,-0.9
4400002827,BELVITA BREAKFAST GOLDEN OAT 8.8 oz,4.79,4.49,1,19,33,0.07,-0.42,-6.3
4400005015,BELVITA BREAKFAST TOASTED COCONUT 5-1.76 oz,4.79,4.49,1,20,21,0.07,-0.05,-0.7
4400007551,CHIPS AHOY CHEWY HERSHEYS FILLED 14.85 oz,4.69,4.99,1,31,35,-0.06,-0.11,1.9
4400004637,CHIPS AHOY CHEWY RED VELVET 9.6 oz,4.59,4.49,1,11,42,0.02,-0.74,-33.1
4400006393,CHIPS AHOY REESES MINI PIECES COOKIES 9.5 oz,4.69,4.99,1,10,6,-0.06,0.67,-11.1
4400004913,CHIPS AHOY THINS ORIGINAL 7 oz,3.69,3.79,1,22,14,-0.03,0.57,-21.7
4400007299,OREO DOUBLE STUFF GF 12.47 oz,4.79,4.69,1,5,5,0.02,0.00,0.0
4400007298,OREO GLUTEN FREE 12.08 oz,4.99,5.29,1,10,6,-0.06,0.67,-11.8
7298100112,ROVIRA EXPORT SODA LITE 30 oz,7.79,5.99,1,8,9,0.30,-0.11,-0.4