,Date Range,Product Name,SKU,Category,Quantity,Start Date,Quantity Change %,UPC,Price Change %,modifiedUPC
167,3/7/2024 to 3/13/2024,SELLO ROJO ARROZ GRANO MEDIANO 3 LB,0001740053540,ARROZ,1585.0,2024-03-07,,1740053540,,0001740053540
219,3/7/2024 to 3/13/2024,SNICKERS 1.86 OZ,0004000042431,CHOCOLATE (DULCES),368.0,2024-03-07,,4000042431,,0004000042431
225,3/7/2024 to 3/13/2024,M & M PEANUT 1.74 OZ,0004000000032,CHOCOLATE (DULCES),353.0,2024-03-07,,4000000032,,0004000000032
713,3/7/2024 to 3/13/2024,KEEBLER CHIPS DELUXE RAINBOW 9.75 OZ,0002780006794,GALLETAS,127.0,2024-03-07,,2780006794,,0002780006794
871,3/7/2024 to 3/13/2024,FAMOSITOS VARIETY PK 10,0007184516100,BEBIDAS,178.0,2024-03-07,,7184516100,,0007184516100
926,3/7/2024 to 3/13/2024,KINDER CHOCOLATE 4 CT,0009626511208,CHOCOLATE (DULCES),103.0,2024-03-07,,9626511208,,0009626511208
1466,3/7/2024 to 3/13/2024,FAMOSITOS TROP/PUNCH PK10,0007184516163,BEBIDAS,112.0,2024-03-07,,7184516163,,0007184516163
1534,3/7/2024 to 3/13/2024,QUAKER INSTANT OATMEAL CINNAM 1.41OZ,0080327530608,CEREALES,56.0,2024-03-07,,80327530608,,0080327530608
1563,3/7/2024 to 3/13/2024,FAMOSITOS FRUIT PUNCH 10 CT,0007184516162,BEBIDAS,64.0,2024-03-07,,7184516162,,0007184516162
1817,3/7/2024 to 3/13/2024,FAMOSITOS UVA PK10,0007184516174,BEBIDAS,70.0,2024-03-07,,7184516174,,0007184516174
2045,3/7/2024 to 3/13/2024,GOYA PLATANOS MADUROS 11 OZ,0004133109046,TOSTONES/MADUROS,61.0,2024-03-07,,4133109046,,0004133109046
2143,3/7/2024 to 3/13/2024,KRESTO CHOCOLATE 16 OZ,0008704177014,CHOCOLATE EN POLVO/BARRA,60.0,2024-03-07,,8704177014,,0008704177014
3375,3/7/2024 to 3/13/2024,PEPPERIDGE FARM LAYER COCONUT 19.6OZ,0005100007625,BIZCOCHOS/PIES/CHEESECAKE,33.0,2024-03-07,,5100007625,,0005100007625
3488,3/7/2024 to 3/13/2024,AGROSUPER ALAS DE POLLO 10 LBS,0089677500277,CARNES,27.0,2024-03-07,,89677500277,,0089677500277
53876,3/14/2024 to 3/20/2024,SELLO ROJO ARROZ GRANO MEDIANO 3 LB,0001740053540,ARROZ,81.0,2024-03-14,-94.88958990536278,1740053540,-4.803493449781648,0001740053540
53945,3/14/2024 to 3/20/2024,M & M PEANUT 1.74 OZ,0004000000032,CHOCOLATE (DULCES),404.0,2024-03-14,14.44759206798867,4000000032,2.400000000000002,0004000000032
53950,3/14/2024 to 3/20/2024,SNICKERS 1.86 OZ,0004000042431,CHOCOLATE (DULCES),419.0,2024-03-14,13.858695652173903,4000042431,-7.913669064748197,0004000042431
54432,3/14/2024 to 3/20/2024,KEEBLER CHIPS DELUXE RAINBOW 9.75 OZ,0002780006794,GALLETAS,174.0,2024-03-14,37.00787401574803,2780006794,-0.278551532033422,0002780006794
54601,3/14/2024 to 3/20/2024,FAMOSITOS VARIETY PK 10,0007184516100,BEBIDAS,119.0,2024-03-14,-33.14606741573034,7184516100,-2.7118644067796627,0007184516100
54644,3/14/2024 to 3/20/2024,KINDER CHOCOLATE 4 CT,0009626511208,CHOCOLATE (DULCES),156.0,2024-03-14,51.45631067961165,9626511208,-1.0101010101010055,0009626511208
55108,3/14/2024 to 3/20/2024,FAMOSITOS TROP/PUNCH PK10,0007184516163,BEBIDAS,101.0,2024-03-14,-9.82142857142857,7184516163,-2.7118644067796627,0007184516163
55254,3/14/2024 to 3/20/2024,QUAKER INSTANT OATMEAL CINNAM 1.41OZ,0080327530608,CEREALES,57.0,2024-03-14,1.7857142857142794,80327530608,-14.28571428571428,0080327530608
55365,3/14/2024 to 3/20/2024,FAMOSITOS FRUIT PUNCH 10 CT,0007184516162,BEBIDAS,71.0,2024-03-14,10.9375,7184516162,-2.7118644067796627,0007184516162
55535,3/14/2024 to 3/20/2024,FAMOSITOS UVA PK10,0007184516174,BEBIDAS,82.0,2024-03-14,17.14285714285715,7184516174,-2.7118644067796627,0007184516174
55764,3/14/2024 to 3/20/2024,GOYA PLATANOS MADUROS 11 OZ,0004133109046,TOSTONES/MADUROS,57.0,2024-03-14,-6.5573770491803245,4133109046,-0.3861003861003742,0004133109046
55851,3/14/2024 to 3/20/2024,KRESTO CHOCOLATE 16 OZ,0008704177014,CHOCOLATE EN POLVO/BARRA,72.0,2024-03-14,19.999999999999996,8704177014,-9.140767824497253,0008704177014
57101,3/14/2024 to 3/20/2024,PEPPERIDGE FARM LAYER COCONUT 19.6OZ,0005100007625,BIZCOCHOS/PIES/CHEESECAKE,27.0,2024-03-14,-18.181818181818176,5100007625,-3.979460847240046,0005100007625
57208,3/14/2024 to 3/20/2024,AGROSUPER ALAS DE POLLO 10 LBS,0089677500277,CARNES,50.0,2024-03-14,85.18518518518519,89677500277,0.0,0089677500277
107594,3/21/2024 to 3/27/2024,SELLO ROJO ARROZ GRANO MEDIANO 3 LB,0001740053540,ARROZ,91.0,2024-03-21,12.34567901234569,1740053540,5.045871559633031,0001740053540
107658,3/21/2024 to 3/27/2024,SNICKERS 1.86 OZ,0004000042431,CHOCOLATE (DULCES),433.0,2024-03-21,3.341288782816232,4000042431,8.59375,0004000042431
107664,3/21/2024 to 3/27/2024,M & M PEANUT 1.74 OZ,0004000000032,CHOCOLATE (DULCES),381.0,2024-03-21,-5.693069306930698,4000000032,-2.34375,0004000000032
108163,3/21/2024 to 3/27/2024,KEEBLER CHIPS DELUXE RAINBOW 9.75 OZ,0002780006794,GALLETAS,204.0,2024-03-21,17.24137931034482,2780006794,0.27932960893854997,0002780006794
108313,3/21/2024 to 3/27/2024,FAMOSITOS VARIETY PK 10,0007184516100,BEBIDAS,101.0,2024-03-21,-15.126050420168069,7184516100,2.7874564459930307,0007184516100
108365,3/21/2024 to 3/27/2024,KINDER CHOCOLATE 4 CT,0009626511208,CHOCOLATE (DULCES),140.0,2024-03-21,-10.256410256410254,9626511208,1.0204081632652962,0009626511208
108829,3/21/2024 to 3/27/2024,FAMOSITOS TROP/PUNCH PK10,0007184516163,BEBIDAS,72.0,2024-03-21,-28.712871287128717,7184516163,2.7874564459930307,0007184516163
108975,3/21/2024 to 3/27/2024,QUAKER INSTANT OATMEAL CINNAM 1.41OZ,0080327530608,CEREALES,76.0,2024-03-21,33.33333333333333,80327530608,16.66666666666665,0080327530608
109004,3/21/2024 to 3/27/2024,FAMOSITOS FRUIT PUNCH 10 CT,0007184516162,BEBIDAS,51.0,2024-03-21,-28.169014084507037,7184516162,2.7874564459930307,0007184516162
109268,3/21/2024 to 3/27/2024,FAMOSITOS UVA PK10,0007184516174,BEBIDAS,55.0,2024-03-21,-32.92682926829268,7184516174,2.7874564459930307,0007184516174
109486,3/21/2024 to 3/27/2024,GOYA PLATANOS MADUROS 11 OZ,0004133109046,TOSTONES/MADUROS,58.0,2024-03-21,1.7543859649122862,4133109046,0.3875968992248069,0004133109046
109573,3/21/2024 to 3/27/2024,KRESTO CHOCOLATE 16 OZ,0008704177014,CHOCOLATE EN POLVO/BARRA,60.0,2024-03-21,-16.666666666666664,8704177014,10.060362173038229,0008704177014
110820,3/21/2024 to 3/27/2024,PEPPERIDGE FARM LAYER COCONUT 19.6OZ,0005100007625,BIZCOCHOS/PIES/CHEESECAKE,27.0,2024-03-21,0.0,5100007625,4.144385026737973,0005100007625
110927,3/21/2024 to 3/27/2024,AGROSUPER ALAS DE POLLO 10 LBS,0089677500277,CARNES,19.0,2024-03-21,-62.0,89677500277,0.0,0089677500277
161315,3/28/2024 to 4/3/2024,SELLO ROJO ARROZ GRANO MEDIANO 3 LB,0001740053540,ARROZ,110.0,2024-03-28,20.879120879120872,1740053540,-4.803493449781648,0001740053540
161379,3/28/2024 to 4/3/2024,SNICKERS 1.86 OZ,0004000042431,CHOCOLATE (DULCES),356.0,2024-03-28,-17.782909930715938,4000042431,-7.913669064748197,0004000042431
161385,3/28/2024 to 4/3/2024,M & M PEANUT 1.74 OZ,0004000000032,CHOCOLATE (DULCES),324.0,2024-03-28,-14.960629921259837,4000000032,2.400000000000002,0004000000032
161872,3/28/2024 to 4/3/2024,KEEBLER CHIPS DELUXE RAINBOW 9.75 OZ,0002780006794,GALLETAS,83.0,2024-03-28,-59.31372549019608,2780006794,-0.278551532033422,0002780006794
162042,3/28/2024 to 4/3/2024,FAMOSITOS VARIETY PK 10,0007184516100,BEBIDAS,66.0,2024-03-28,-34.65346534653465,7184516100,-2.7118644067796627,0007184516100
162085,3/28/2024 to 4/3/2024,KINDER CHOCOLATE 4 CT,0009626511208,CHOCOLATE (DULCES),86.0,2024-03-28,-38.57142857142857,9626511208,-1.0101010101010055,0009626511208
162549,3/28/2024 to 4/3/2024,FAMOSITOS TROP/PUNCH PK10,0007184516163,BEBIDAS,45.0,2024-03-28,-37.5,7184516163,-2.7118644067796627,0007184516163
162695,3/28/2024 to 4/3/2024,QUAKER INSTANT OATMEAL CINNAM 1.41OZ,0080327530608,CEREALES,62.0,2024-03-28,-18.42105263157895,80327530608,-14.28571428571428,0080327530608
162728,3/28/2024 to 4/3/2024,FAMOSITOS FRUIT PUNCH 10 CT,0007184516162,BEBIDAS,34.0,2024-03-28,-33.333333333333336,7184516162,-2.7118644067796627,0007184516162
162976,3/28/2024 to 4/3/2024,FAMOSITOS UVA PK10,0007184516174,BEBIDAS,40.0,2024-03-28,-27.27272727272727,7184516174,-2.7118644067796627,0007184516174
163204,3/28/2024 to 4/3/2024,GOYA PLATANOS MADUROS 11 OZ,0004133109046,TOSTONES/MADUROS,36.0,2024-03-28,-37.93103448275862,4133109046,-0.3861003861003742,0004133109046
163302,3/28/2024 to 4/3/2024,KRESTO CHOCOLATE 16 OZ,0008704177014,CHOCOLATE EN POLVO/BARRA,31.0,2024-03-28,-48.33333333333333,8704177014,-9.140767824497253,0008704177014
164537,3/28/2024 to 4/3/2024,PEPPERIDGE FARM LAYER COCONUT 19.6OZ,0005100007625,BIZCOCHOS/PIES/CHEESECAKE,14.0,2024-03-28,-48.14814814814815,5100007625,-3.979460847240046,0005100007625
164647,3/28/2024 to 4/3/2024,AGROSUPER ALAS DE POLLO 10 LBS,0089677500277,CARNES,9.0,2024-03-28,-52.63157894736843,89677500277,-1.519081141163392,0089677500277
215032,4/4/2024 to 4/10/2024,SELLO ROJO ARROZ GRANO MEDIANO 3 LB,0001740053540,ARROZ,1398.0,2024-04-04,1170.909090909091,1740053540,5.045871559633031,0001740053540
215096,4/4/2024 to 4/10/2024,SNICKERS 1.86 OZ,0004000042431,CHOCOLATE (DULCES),463.0,2024-04-04,30.0561797752809,4000042431,8.59375,0004000042431
215101,4/4/2024 to 4/10/2024,M & M PEANUT 1.74 OZ,0004000000032,CHOCOLATE (DULCES),429.0,2024-04-04,32.40740740740742,4000000032,8.59375,0004000000032
215599,4/4/2024 to 4/10/2024,KEEBLER CHIPS DELUXE RAINBOW 9.75 OZ,0002780006794,GALLETAS,122.0,2024-04-04,46.987951807228924,2780006794,0.27932960893854997,0002780006794
215714,4/4/2024 to 4/10/2024,FAMOSITOS TROP/PUNCH PK10,0007184516163,BEBIDAS,72.0,2024-04-04,60.00000000000001,7184516163,2.7874564459930307,0007184516163
215747,4/4/2024 to 4/10/2024,FAMOSITOS VARIETY PK 10,0007184516100,BEBIDAS,157.0,2024-04-04,137.87878787878788,7184516100,2.7874564459930307,0007184516100
215800,4/4/2024 to 4/10/2024,KINDER CHOCOLATE 4 CT,0009626511208,CHOCOLATE (DULCES),131.0,2024-04-04,52.32558139534884,9626511208,1.0204081632652962,0009626511208
216410,4/4/2024 to 4/10/2024,QUAKER INSTANT OATMEAL CINNAM 1.41OZ,0080327530608,CEREALES,76.0,2024-04-04,22.580645161290324,80327530608,16.66666666666665,0080327530608
216439,4/4/2024 to 4/10/2024,FAMOSITOS FRUIT PUNCH 10 CT,0007184516162,BEBIDAS,49.0,2024-04-04,44.11764705882353,7184516162,2.7874564459930307,0007184516162
216691,4/4/2024 to 4/10/2024,FAMOSITOS UVA PK10,0007184516174,BEBIDAS,71.0,2024-04-04,77.49999999999999,7184516174,2.7874564459930307,0007184516174
216920,4/4/2024 to 4/10/2024,GOYA PLATANOS MADUROS 11 OZ,0004133109046,TOSTONES/MADUROS,55.0,2024-04-04,52.77777777777777,4133109046,0.3875968992248069,0004133109046
217007,4/4/2024 to 4/10/2024,KRESTO CHOCOLATE 16 OZ,0008704177014,CHOCOLATE EN POLVO/BARRA,82.0,2024-04-04,164.51612903225805,8704177014,10.060362173038229,0008704177014
218251,4/4/2024 to 4/10/2024,PEPPERIDGE FARM LAYER COCONUT 19.6OZ,0005100007625,BIZCOCHOS/PIES/CHEESECAKE,26.0,2024-04-04,85.71428571428572,5100007625,4.144385026737973,0005100007625
218364,4/4/2024 to 4/10/2024,AGROSUPER ALAS DE POLLO 10 LBS,0089677500277,CARNES,23.0,2024-04-04,155.55555555555554,89677500277,1.5425131677953452,0089677500277
268753,4/11/2024 to 4/17/2024,SELLO ROJO ARROZ GRANO MEDIANO 3 LB,0001740053540,ARROZ,837.0,2024-04-11,-40.128755364806864,1740053540,-4.803493449781648,0001740053540
268816,4/11/2024 to 4/17/2024,SNICKERS 1.86 OZ,0004000042431,CHOCOLATE (DULCES),422.0,2024-04-11,-8.855291576673864,4000042431,-7.913669064748197,0004000042431
268822,4/11/2024 to 4/17/2024,M & M PEANUT 1.74 OZ,0004000000032,CHOCOLATE (DULCES),393.0,2024-04-11,-8.391608391608397,4000000032,-7.913669064748197,0004000000032
269321,4/11/2024 to 4/17/2024,KEEBLER CHIPS DELUXE RAINBOW 9.75 OZ,0002780006794,GALLETAS,149.0,2024-04-11,22.131147540983598,2780006794,-0.278551532033422,0002780006794
269469,4/11/2024 to 4/17/2024,FAMOSITOS VARIETY PK 10,0007184516100,BEBIDAS,117.0,2024-04-11,-25.47770700636943,7184516100,-2.7118644067796627,0007184516100
269523,4/11/2024 to 4/17/2024,KINDER CHOCOLATE 4 CT,0009626511208,CHOCOLATE (DULCES),110.0,2024-04-11,-16.030534351145043,9626511208,-1.0101010101010055,0009626511208
269986,4/11/2024 to 4/17/2024,FAMOSITOS TROP/PUNCH PK10,0007184516163,BEBIDAS,78.0,2024-04-11,8.333333333333325,7184516163,-2.7118644067796627,0007184516163
270132,4/11/2024 to 4/17/2024,QUAKER INSTANT OATMEAL CINNAM 1.41OZ,0080327530608,CEREALES,78.0,2024-04-11,2.6315789473684292,80327530608,-14.28571428571428,0080327530608
270161,4/11/2024 to 4/17/2024,FAMOSITOS FRUIT PUNCH 10 CT,0007184516162,BEBIDAS,72.0,2024-04-11,46.93877551020409,7184516162,-2.7118644067796627,0007184516162
270425,4/11/2024 to 4/17/2024,FAMOSITOS UVA PK10,0007184516174,BEBIDAS,66.0,2024-04-11,-7.042253521126762,7184516174,-2.7118644067796627,0007184516174
270643,4/11/2024 to 4/17/2024,GOYA PLATANOS MADUROS 11 OZ,0004133109046,TOSTONES/MADUROS,52.0,2024-04-11,-5.454545454545457,4133109046,-0.3861003861003742,0004133109046
270730,4/11/2024 to 4/17/2024,KRESTO CHOCOLATE 16 OZ,0008704177014,CHOCOLATE EN POLVO/BARRA,69.0,2024-04-11,-15.85365853658537,8704177014,-9.140767824497253,0008704177014
271988,4/11/2024 to 4/17/2024,PEPPERIDGE FARM LAYER COCONUT 19.6OZ,0005100007625,BIZCOCHOS/PIES/CHEESECAKE,28.0,2024-04-11,7.692307692307687,5100007625,-3.979460847240046,0005100007625
272085,4/11/2024 to 4/17/2024,AGROSUPER ALAS DE POLLO 10 LBS,0089677500277,CARNES,33.0,2024-04-11,43.47826086956521,89677500277,-1.519081141163392,0089677500277
322476,4/18/2024 to 4/24/2024,SELLO ROJO ARROZ GRANO MEDIANO 3 LB,0001740053540,ARROZ,88.0,2024-04-18,-89.48626045400239,1740053540,5.045871559633031,0001740053540
322541,4/18/2024 to 4/24/2024,SNICKERS 1.86 OZ,0004000042431,CHOCOLATE (DULCES),444.0,2024-04-18,5.213270142180093,4000042431,8.59375,0004000042431
322573,4/18/2024 to 4/24/2024,M & M PEANUT 1.74 OZ,0004000000032,CHOCOLATE (DULCES),417.0,2024-04-18,6.106870229007644,4000000032,8.59375,0004000000032
323022,4/18/2024 to 4/24/2024,KEEBLER CHIPS DELUXE RAINBOW 9.75 OZ,0002780006794,GALLETAS,214.0,2024-04-18,43.6241610738255,2780006794,0.27932960893854997,0002780006794
